# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
 0)               |  __probe_kernel_read() {
 0)   5.983 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.800 us    |                  __of_find_property();
 0)   1.233 us    |                  of_prop_next_string();
 0)   6.445 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.256 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   5.847 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.902 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   6.700 us    |                }
 0)   1.242 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.257 us    |                  __of_find_property();
 0)   1.292 us    |                  of_prop_next_string();
 0)   5.996 us    |                }
 0)   1.225 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.892 us    |                  __of_find_property();
 0)   1.273 us    |                  of_prop_next_string();
 0)   6.603 us    |                }
 0)   1.166 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.328 us    |                  __of_find_property();
 0)   1.189 us    |                  of_prop_next_string();
 0)   5.956 us    |                }
 0)   1.202 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.984 us    |                  __of_find_property();
 0)   1.145 us    |                  of_prop_next_string();
 0)   6.535 us    |                }
 0)   1.188 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.020 us    |                  __of_find_property();
 0)   1.171 us    |                  of_prop_next_string();
 0)   6.840 us    |                }
 0)   1.237 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.316 us    |                  of_prop_next_string();
 0)   6.054 us    |                }
 0)   1.179 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   2.067 us    |                  __of_find_property();
 0)   1.233 us    |                  of_prop_next_string();
 0)   6.700 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.882 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.975 us    |                  __of_find_property();
 0)   1.163 us    |                  of_prop_next_string();
 0)   6.765 us    |                }
 0)   1.232 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.249 us    |                  __of_find_property();
 0)   1.317 us    |                  of_prop_next_string();
 0)   6.035 us    |                }
 0)   1.173 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.962 us    |                  __of_find_property();
 0)   1.233 us    |                  of_prop_next_string();
 0)   6.595 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.248 us    |                  __of_find_property();
 0)   1.165 us    |                  of_prop_next_string();
 0)   5.870 us    |                }
 0)   1.174 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.757 us    |                  __of_find_property();
 0)   1.164 us    |                  of_prop_next_string();
 0)   6.534 us    |                }
 0)   1.215 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.257 us    |                  __of_find_property();
 0)   1.293 us    |                  of_prop_next_string();
 0)   6.065 us    |                }
 0)   1.202 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.715 us    |                  __of_find_property();
 0)   1.220 us    |                  of_prop_next_string();
 0)   6.319 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.251 us    |                  __of_find_property();
 0)   1.151 us    |                  of_prop_next_string();
 0)   5.805 us    |                }
 0)   1.187 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.572 us    |                  __of_find_property();
 0)   1.172 us    |                  of_prop_next_string();
 0)   6.375 us    |                }
 0)   1.203 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.732 us    |                  __of_find_property();
 0)   1.293 us    |                  of_prop_next_string();
 0)   6.482 us    |                }
 0)   1.245 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.864 us    |                  __of_find_property();
 0)   1.305 us    |                  of_prop_next_string();
 0)   6.610 us    |                }
 0)   1.210 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.289 us    |                  __of_find_property();
 0)   1.187 us    |                  of_prop_next_string();
 0)   5.872 us    |                }
 0)   1.182 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
 0)   1.242 us    |                  __of_find_property();
 0)   1.169 us    |                  of_prop_next_string();
 0)   1.357 us    |                  of_prop_next_string();
 0)   8.550 us    |                }
 0)   1.324 us    |                __of_find_all_nodes.part.0();
 0)               |                __of_device_is_compatible() {
